source,target,shared_seasons,weighted_core,source_name,target_name,source_community,target_community
hunteca01,tenacge01,6,1.580918245084412,Catfish Hunter,Gene Tenace,3,3
jacksre01,mondari01,4,1.5737598446082406,Reggie Jackson,Rick Monday,3,3
davisra01,suzukku01,3,1.5425113947716085,Rajai Davis,Kurt Suzuki,2,2
suzukku01,sweenry01,4,1.5417037222765742,Kurt Suzuki,Ryan Sweeney,2,2
chapmma01,lowrije01,3,1.5291527952045727,Matt Chapman,Jed Lowrie,4,4
daviskh01,manaese01,6,1.523168037674845,Khris Davis,Sean Manaea,4,4
blantjo01,chaveer01,5,1.5105130236180824,Joe Blanton,Eric Chavez,2,2
reddijo01,vogtst01,4,1.5081586755361303,Josh Reddick,Stephen Vogt,5,5
stewada01,welchbo01,5,1.5071089052875428,Dave Stewart,Bob Welch,1,1
chaveer01,crosbbo01,7,1.5064535767254343,Eric Chavez,Bobby Crosby,2,2
lansfca01,welchbo01,5,1.502256535253384,Carney Lansford,Bob Welch,1,1
jacksre01,odombl01,8,1.501191584479236,Reggie Jackson,Blue Moon Odom,3,3
cansejo01,phillto02,5,1.4947434292866084,Jose Canseco,Tony Phillips,1,1
chaveer01,kotsama01,4,1.4841909600457843,Eric Chavez,Mark Kotsay,2,2
chaveer01,kendaja01,3,1.4819897835978844,Eric Chavez,Jason Kendall,2,2
harderi01,zitoba01,4,1.4797182870611976,Rich Harden,Barry Zito,2,2
cespeyo01,reddijo01,3,1.476489492347215,Yoenis Cespedes,Josh Reddick,5,5
heathmi02,murphdw01,7,1.4755741982125803,Mike Heath,Dwayne Murphy,1,1
kendaja01,swishni01,3,1.472436784729533,Jason Kendall,Nick Swisher,2,2
cansejo01,steinte01,7,1.4569833209699001,Jose Canseco,Terry Steinbach,1,1
harenda01,zitoba01,2,1.4560920407393434,Dan Haren,Barry Zito,2,2
henderi01,welchbo01,6,1.4486538656024808,Rickey Henderson,Bob Welch,1,1
bailean01,suzukku01,3,1.4483632117085128,Andrew Bailey,Kurt Suzuki,2,2
bassich01,laurera01,4,1.4382247411591331,Chris Bassitt,Ramon Laureano,4,4
steinte01,stewada01,8,1.4380410264234786,Terry Steinbach,Dave Stewart,1,1
chaveer01,swishni01,4,1.4373188691722867,Eric Chavez,Nick Swisher,2,2
bandosa01,odombl01,8,1.4346257750995086,Sal Bando,Blue Moon Odom,3,3
bandosa01,greendi01,7,1.4311278674707866,Sal Bando,Dick Green,3,3
greendi01,jacksre01,7,1.4311278674707866,Dick Green,Reggie Jackson,3,3
campabe01,odombl01,8,1.4299172864230805,Bert Campaneris,Blue Moon Odom,3,3
bassich01,chapmma01,4,1.4288049619719119,Chris Bassitt,Matt Chapman,4,4
ellisma01,kendaja01,3,1.4228988745069753,Mark Ellis,Jason Kendall,2,2
custja01,suzukku01,4,1.4170880086098312,Jack Cust,Kurt Suzuki,2,2
suzukku01,zieglbr01,4,1.4157431309449848,Kurt Suzuki,Brad Ziegler,2,2
lowrije01,olsonma02,4,1.4115057363810433,Jed Lowrie,Matt Olson,4,4
henderi01,stewada01,5,1.406361045892317,Rickey Henderson,Dave Stewart,1,1
bradeda01,suzukku01,5,1.4043817140484023,Dallas Braden,Kurt Suzuki,2,2
berroge01,steinte01,3,1.4017436698578483,Geronimo Berroa,Terry Steinbach,1,1
javiest01,mcgwima01,7,1.3979030367402823,Stan Javier,Mark McGwire,1,1
cansejo01,mooremi01,4,1.3864264524998193,Jose Canseco,Mike Moore,1,1
eckerde01,hendeda01,6,1.3843371493343337,Dennis Eckersley,Dave Henderson,1,1
cansejo01,welchbo01,5,1.3689790603263023,Jose Canseco,Bob Welch,1,1
ontivst02,steinte01,5,1.3687827630245037,Steve Ontiveros,Terry Steinbach,1,1
davisra01,sweenry01,3,1.3656935536921482,Rajai Davis,Ryan Sweeney,2,2
chaveer01,duchsju01,7,1.360146996690916,Eric Chavez,Justin Duchscherer,2,2
