playerID,yearID,bat_G,bat_AB,bat_R,bat_H,bat_2B,bat_3B,bat_HR,bat_RBI,bat_SB,bat_CS,bat_BB,bat_SO,bat_IBB,bat_HBP,bat_SH,bat_SF,bat_GIDP,pit_W,pit_L,pit_G,pit_GS,pit_CG,pit_SHO,pit_SV,pit_IPouts,pit_H,pit_ER,pit_HR,pit_BB,pit_SO,pit_BAOpp,pit_ERA,pit_IBB,pit_WP,pit_HBP,pit_BK,pit_BFP,pit_GF,pit_R,pit_SH,pit_SF,pit_GIDP,app_G_all,app_GS,app_G_batting,app_G_defense,app_G_p,app_G_c,app_G_1b,app_G_2b,app_G_3b,app_G_ss,app_G_lf,app_G_cf,app_G_rf,app_G_of,app_G_dh,app_G_ph,app_G_pr,fld_G,fld_GS,fld_InnOuts,fld_PO,fld_A,fld_E,fld_DP,primary_pos,bat_PA_est,bat_TB_est,pit_IP,bat_pa_norm,bat_g_norm,bat_tb_norm,pit_ip_norm,pit_g_norm,pit_gs_norm,pit_sv_norm,app_g_norm,app_gs_norm,fld_g_norm,hitter_component,pitcher_component,fielding_component,raw_core_score,core_score,primary_role,player_name,core_rank,is_top_10_core,bwar,batting_bwar,pitching_bwar,bwar_positive,war_score,metric_score,metric_source,war_rank,metric_rank,is_top_10_war,is_top_10_metric
dobsoch01,1968,35,75,4,15,3,0,0,3.0,0.0,1.0,0,14.0,0.0,0.0,6.0,0.0,0.0,12.0,14.0,35.0,34.0,11.0,3.0,0.0,676.0,197.0,75.0,20.0,80.0,168.0,0.23,3.0,10.0,10.0,4.0,0.0,939.0,1.0,91.0,0.0,0.0,0.0,35,34.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,676.0,11.0,40.0,1.0,3.0,P,81.0,18,225.33333333333334,0.11456859971711457,0.21604938271604937,0.072,0.962962962962963,0.6481481481481481,1.0,0.0,0.21604938271604937,0.2138364779874214,0.2147239263803681,0.13060789634519007,0.8162962962962964,0.21529722375846538,0.8162962962962964,0.8252950691989697,Pitcher,Chuck Dobson,6,True,1.32,0.46,0.86,1.32,0.19969742813918306,0.19969742813918306,Baseball-Reference bWAR,11,11,False,False
greendi01,1968,76,202,19,47,6,0,6,18.0,3.0,1.0,21,41.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,57.0,76.0,62.0,0.0,1.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,63.0,57.0,1472.0,125.0,170.0,8.0,35.0,2B,226.0,71,0.0,0.31966053748231965,0.4691358024691358,0.284,0.0,0.0,0.0,0.0,0.4691358024691358,0.3584905660377358,0.38650306748466257,0.3459895367314509,0.0,0.4298918627698965,0.3869026764929068,0.391167854880942,Hitter,Dick Green,17,False,1.31,1.31,0.0,1.31,0.19818456883509833,0.19818456883509833,Baseball-Reference bWAR,12,12,False,False
seguidi01,1968,52,9,0,1,0,0,0,0.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,52.0,0.0,0.0,0.0,6.0,249.0,51.0,22.0,7.0,32.0,72.0,0.17,2.39,8.0,5.0,0.0,0.0,330.0,24.0,25.0,0.0,0.0,0.0,52,0.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,249.0,4.0,8.0,0.0,0.0,P,10.0,1,83.0,0.014144271570014143,0.32098765432098764,0.004,0.3547008547008547,0.9629629629629629,0.0,0.5454545454545454,0.32098765432098764,0.0,0.31901840490797545,0.07449852096320743,0.42296425796425796,0.23091418616980988,0.42296425796425796,0.42762697580413717,Pitcher,Diego Segui,15,False,1.26,0.0,1.26,1.26,0.19062027231467474,0.19062027231467474,Baseball-Reference bWAR,13,13,False,False
pagliji01,1968,66,199,19,49,4,0,6,20.0,0.0,0.0,24,42.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,58.0,66.0,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,63.0,58.0,1515.0,375.0,16.0,1.0,3.0,C,227.0,71,0.0,0.32107496463932106,0.4074074074074074,0.284,0.0,0.0,0.0,0.0,0.4074074074074074,0.36477987421383645,0.38650306748466257,0.3346339567290062,0.0,0.39338126412093305,0.3540431377088398,0.3579460756597371,Hitter,Jim Pagliaroni,19,False,1.25,1.25,0.0,1.25,0.18910741301059,0.18910741301059,Baseball-Reference bWAR,14,14,False,False
lindbpa01,1968,47,8,1,3,1,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,47.0,1.0,0.0,0.0,2.0,169.0,51.0,15.0,6.0,14.0,42.0,0.23,2.4,4.0,0.0,0.0,0.0,235.0,20.0,19.0,0.0,0.0,0.0,47,1.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,169.0,4.0,9.0,0.0,1.0,P,9.0,4,56.333333333333336,0.01272984441301273,0.29012345679012347,0.016,0.24074074074074076,0.8703703703703703,0.029411764705882353,0.18181818181818182,0.29012345679012347,0.006289308176100629,0.2883435582822086,0.0685355824471336,0.31225589225589223,0.2104719053274056,0.31225589225589223,0.31569817157858615,Pitcher,Paul Lindblad,22,False,0.8800000000000001,0.2,0.68,0.8800000000000001,0.1331316187594554,0.1331316187594554,Baseball-Reference bWAR,15,15,False,False
hershmi01,1968,99,246,23,67,9,2,5,32.0,8.0,3.0,21,22.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,61.0,99.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,5.0,27.0,90.0,0.0,16.0,2.0,90.0,61.0,1819.0,128.0,5.0,3.0,0.0,OF,274.0,95,0.0,0.38755304101838756,0.6111111111111112,0.38,0.0,0.0,0.0,0.0,0.6111111111111112,0.3836477987421384,0.5521472392638037,0.43150935093509346,0.0,0.5415249964630681,0.48737249681676126,0.4927452449693156,Hitter,Mike Hershberger,12,False,0.6,0.6,0.0,0.6,0.0907715582450832,0.0907715582450832,Baseball-Reference bWAR,16,16,False,False
keougjo01,1968,34,98,7,21,2,1,2,18.0,1.0,0.0,8,11.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,28.0,34.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,1.0,29.0,0.0,5.0,0.0,30.0,28.0,664.0,51.0,2.0,2.0,0.0,OF,110.0,31,0.0,0.15558698727015557,0.20987654320987653,0.124,0.0,0.0,0.0,0.0,0.20987654320987653,0.1761006289308176,0.18404907975460122,0.1632861997310842,0.0,0.1978365408662125,0.17805288677959125,0.18001572490597342,Hitter,Joe Keough,25,False,0.33,0.33,0.0,0.33,0.049924357034795766,0.049924357034795766,Baseball-Reference bWAR,17,17,False,False
kubiate01,1968,48,120,10,30,5,2,0,8.0,1.0,1.0,8,18.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,28.0,48.0,36.0,0.0,0.0,0.0,24.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,36.0,28.0,791.0,60.0,78.0,11.0,13.0,2B,133.0,39,0.0,0.18811881188118812,0.2962962962962963,0.156,0.0,0.0,0.0,0.0,0.2962962962962963,0.1761006289308176,0.22085889570552147,0.20654242757609093,0.0,0.25509776937488476,0.2295879924373963,0.2321189486777942,Hitter,Ted Kubiak,23,False,0.28,0.28,0.0,0.28,0.04236006051437217,0.04236006051437217,Baseball-Reference bWAR,18,18,False,False
robinfl01,1968,53,81,5,20,5,0,1,14.0,0.0,0.0,4,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,17.0,53.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,36.0,0.0,18.0,17.0,355.0,20.0,1.0,0.0,0.0,OF,88.0,28,0.0,0.12446958981612447,0.3271604938271605,0.112,0.0,0.0,0.0,0.0,0.3271604938271605,0.1069182389937107,0.11042944785276074,0.16376081163671924,0.0,0.2438195578763546,0.21943760208871912,0.2218566613891999,Hitter,Floyd Robinson,24,False,0.17,0.17,0.0,0.17,0.025718608169440244,0.025718608169440244,Baseball-Reference bWAR,19,19,False,False
larusto01,1968,5,3,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1,0.0,0.004243281471004243,0.030864197530864196,0.004,0.0,0.0,0.0,0.0,0.030864197530864196,0.0,0.0,0.009543136535875808,0.0,0.0191358024691358,0.017222222222222222,0.017412078365586246,Hitter,Tony LaRussa,32,False,0.09,0.09,0.0,0.09,0.01361573373676248,0.01361573373676248,Baseball-Reference bWAR,20,20,False,False
