playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank
alvarrj01,R. J. Alvarez,2015,2015,1,0.11451929566993103,0.11451929566993103,0.11451929566993103,-0.84,0.0,-0.84,0.0,0.0,0.0,20.0,2015,Pitcher,P,C06,-0.84,0.0,897
boglewa01,Warren Bogle,1968,1968,1,0.11363217394911122,0.11363217394911122,0.11363217394911122,-0.4,0.0,-0.4,0.0,0.0,5.0,23.0,1968,Pitcher,P,C01,-0.4,0.0,898
martima01,Marty Martinez,1972,1972,1,0.11207484273886621,0.11207484273886621,0.11207484273886621,-0.47,0.0,-0.47,0.0,0.0,44.0,0.0,1972,Hitter,2B,C01,-0.47,0.0,899
lewisri01,Richie Lewis,1997,1997,1,0.10993331209777969,0.10993331209777969,0.10993331209777969,-0.78,0.0,-0.78,0.0,0.0,0.0,18.666666666666668,1997,Pitcher,P,C03,-0.78,0.0,900
brownol02,Ollie Brown,1972,1972,1,0.10821097640579001,0.10821097640579001,0.10821097640579001,-0.15,0.0,-0.15,0.0,0.0,60.0,0.0,1972,Hitter,OF,C01,-0.15,0.0,901
waltobr01,Bruce Walton,1991,1992,2,0.10811231102670418,0.0642802524289051,0.05405615551335209,-0.66,0.0,-0.16,0.0,0.0,0.0,23.0,1991,Pitcher,P,C03,-0.16,0.0,902
howarst01,Steve Howard,1990,1990,1,0.10781120683182245,0.10781120683182245,0.10781120683182245,-0.52,0.0,-0.52,0.0,0.0,56.0,0.0,1990,Hitter,OF,C03,-0.52,0.0,903
estrama01,Marco Estrada,2019,2019,1,0.10749494037851441,0.10749494037851441,0.10749494037851441,-0.36,0.0,-0.36,0.0,0.0,0.0,23.666666666666668,2019,Pitcher,P,C07,-0.36,0.0,904
kommibr01,Brad Komminsk,1991,1991,1,0.10692521652231847,0.10692521652231847,0.10692521652231847,-0.3,0.0,-0.3,0.0,0.0,27.0,0.0,1991,Hitter,OF,C03,-0.3,0.0,905
driscji01,Jim Driscoll,1970,1970,1,0.10683225828587115,0.10683225828587115,0.10683225828587115,-0.56,0.0,-0.56,0.0,0.0,56.0,0.0,1970,Hitter,2B,C01,-0.56,0.0,906
penaro01,Roberto Peña,1970,1970,1,0.10474704933781653,0.10474704933781653,0.10474704933781653,-0.15,0.0,-0.15,0.0,0.0,62.0,0.0,1970,Hitter,SS,C01,-0.15,0.0,907
bankswe01,Wes Bankston,2008,2008,1,0.10457274981491835,0.10457274981491835,0.10457274981491835,-0.54,0.0,-0.54,0.0,0.0,63.0,0.0,2008,Hitter,1B,C04,-0.54,0.0,908
ellisdo01,Dock Ellis,1977,1977,1,0.10418735723275158,0.10418735723275158,0.10418735723275158,-1.32,0.0,-1.32,0.0,0.0,0.0,26.0,1977,Pitcher,P,C01,-1.32,0.0,909
jenniro01,Robin Jennings,2001,2001,1,0.10412835427606902,0.10412835427606902,0.10412835427606902,-0.42,0.0,-0.42,0.0,0.0,55.0,0.0,2001,Hitter,OF,C04,-0.42,0.0,910
anderta01,Tanner Anderson,2019,2019,1,0.10352382124494039,0.10352382124494039,0.10352382124494039,-0.18000000000000002,0.0,-0.18000000000000002,0.0,0.0,1.0,22.333333333333332,2019,Pitcher,P,C07,-0.18000000000000002,0.0,911
talbofr01,Fred Talbot,1969,1970,2,0.10348880429817178,0.09749371097447439,0.05174440214908589,-0.45,0.0,-0.18,0.0,0.0,3.0,20.666666666666668,1970,Pitcher,P,C01,-0.18,0.0,912
quinolu01,Luis Quinones,1983,1983,1,0.10323378604182615,0.10323378604182615,0.10323378604182615,-0.23,0.0,-0.23,0.0,0.0,45.0,0.0,1983,Hitter,2B,C02,-0.23,0.0,913
