playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank,community_id,layout_x,layout_y,community_label
hendeda01,Dave Henderson,1988,1993,6,4.29270413758989,1.0,0.715450689598315,19.58,20.83,6.27,3.137314526572006,1.0,2831.0,0.0,1991,Hitter,OF,C03,5.42,1.0,21,1,0.4146277436845169,0.13337856131742676,Rickey Henderson / Mark McGwire / Dwayne Murphy
stewada01,Dave Stewart,1986,1995,8,5.892764121443426,0.8552672955974844,0.7365955151804282,18.89,20.32,5.15,3.1693843471834926,0.8259187620889747,0.0,1717.3333333333335,1987,Pitcher,P,C03,4.27,0.8259187620889747,22,1,0.32801618715361075,0.10333764854954501,Rickey Henderson / Mark McGwire / Dwayne Murphy
northbi01,Bill North,1973,1978,6,4.1917464964949875,0.9772849987090031,0.6986244160824979,19.98,19.98,6.99,2.852805604581691,0.8973042362002568,2859.0,0.0,1973,Hitter,OF,C01,6.99,0.8973042362002568,23,3,0.06329460237027419,0.4948834560537672,Sal Bando / Reggie Jackson / Bert Campaneris
semiema01,Marcus Semien,2015,2020,6,5.510729664754199,1.0,0.9184549441256998,19.95,19.95,8.43,3.572514059311593,1.0,3294.0,0.0,2019,Hitter,SS,C07,8.43,1.0,24,4,0.9168360633487996,0.7220013809063242,Matt Chapman / Marcus Semien / Matt Olson
muldema01,Mark Mulder,2000,2004,5,3.574173383504702,0.8225571052337554,0.7148346767009404,19.49,19.49,5.6899999999999995,2.649337285410325,0.7637583892617449,26.0,1003.0,2003,Pitcher,P,C04,5.6899999999999995,0.7637583892617449,25,2,0.6387960043703895,0.3363712045245038,Eric Chavez / Tim Hudson / Barry Zito
olsonma02,Matt Olson,2016,2021,6,4.115984164675191,1.0,0.6859973607791985,19.0,19.16,5.94,3.5840338242391794,1.0,2369.0,0.0,2021,Hitter,1B,C07,5.94,1.0,26,4,0.9255004053055974,0.7062476270701148,Matt Chapman / Marcus Semien / Matt Olson
reddijo01,Josh Reddick,2012,2016,5,3.6750388233169615,1.0,0.7350077646633923,16.5,16.5,4.58,3.2080141817704457,1.0,2359.0,0.0,2012,Hitter,OF,C06,4.58,1.0,27,5,0.7944202506120929,0.8674173775722547,Josh Reddick / Josh Donaldson / Coco Crisp
eckerde01,Dennis Eckersley,1987,1995,9,4.029792297057438,0.5401573915198411,0.44775469967304865,15.95,16.16,3.26,2.5677381178460448,0.5880077369439072,0.0,637.0,1987,Pitcher,P,C03,3.04,0.5880077369439072,28,1,0.32875596445382416,0.08050807930249909,Rickey Henderson / Mark McGwire / Dwayne Murphy
phillto02,Tony Phillips,1982,1999,9,5.561934585161601,0.8833475621230279,0.6179927316846223,15.63,15.98,4.4,3.067645350320054,1.0,3491.0,0.0,1986,Hitter,2B,C03,4.4,1.0,29,1,0.3012663901453028,0.11297354527643733,Rickey Henderson / Mark McGwire / Dwayne Murphy
donaljo02,Josh Donaldson,2010,2014,4,2.5093882644129772,1.0,0.6273470661032443,15.34,15.63,7.24,2.316593886462882,1.0,1691.0,0.0,2013,Hitter,3B,C06,7.24,1.0,30,5,0.7860290212822714,0.9338912240803221,Josh Reddick / Josh Donaldson / Coco Crisp
davismi02,Mike Davis,1980,1987,8,4.54005058623931,0.9359375167221226,0.5675063232799138,14.4,14.780000000000001,4.7,2.8733308077807713,1.0,2797.0,0.0,1985,Hitter,OF,C03,4.7,1.0,31,1,0.3148891855771894,0.08112054318623164,Rickey Henderson / Mark McGwire / Dwayne Murphy
langfri01,Rick Langford,1977,1986,10,5.425091197055068,0.8769292003915494,0.5425091197055069,11.42,14.719999999999999,4.04,3.08657387582003,1.0,1.0,1468.0,1979,Pitcher,P,C02,4.04,1.0,32,1,0.19754021923158455,0.13221152536447894,Rickey Henderson / Mark McGwire / Dwayne Murphy
