yearID,top10_players,top_hitters,top_pitchers,returning_core_players,departing_core_players,returning_core_count,departing_core_count,era_id,teamID,lgID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,RA,attendance,name,park
1989,Mike Moore | Rickey Henderson | Carney Lansford | Dave Henderson | Dave Stewart | Mark McGwire | Bob Welch | Todd Burns | Dennis Eckersley | Tony Phillips,Rickey Henderson | Carney Lansford | Dave Henderson | Mark McGwire | Tony Phillips | Jose Canseco | Mike Gallego | Luis Polonia,Mike Moore | Dave Stewart | Bob Welch | Todd Burns | Dennis Eckersley | Rick Honeycutt | Jim Corsi | Eric Plunk,Carney Lansford | Dave Henderson | Dave Stewart | Mark McGwire | Bob Welch | Dennis Eckersley,Jose Canseco | Walt Weiss | Storm Davis | Terry Steinbach,6,4,C03,OAK,AL,W,1,162,99,63,Y,,Y,Y,712.0,576.0,2667225.0,Oakland Athletics,Oakland Coliseum
1990,Rickey Henderson | Mark McGwire | Jose Canseco | Dave Stewart | Dave Henderson | Walt Weiss | Dennis Eckersley | Bob Welch | Willie Randolph | Gene Nelson,Rickey Henderson | Mark McGwire | Jose Canseco | Dave Henderson | Walt Weiss | Willie Randolph | Felix Jose | Mike Gallego,Dave Stewart | Dennis Eckersley | Bob Welch | Gene Nelson | Joe Klink | Todd Burns | Steve Chitren | Rick Honeycutt,Rickey Henderson | Mark McGwire | Dave Stewart | Dave Henderson | Dennis Eckersley | Bob Welch,Mike Moore | Carney Lansford | Todd Burns | Tony Phillips,6,4,C03,OAK,AL,W,1,162,103,59,Y,,Y,N,733.0,570.0,2900217.0,Oakland Athletics,Oakland Coliseum
1991,Dave Henderson | Jose Canseco | Rickey Henderson | Mike Moore | Mike Gallego | Harold Baines | Terry Steinbach | Mark McGwire | Dennis Eckersley | Lance Blankenship,Dave Henderson | Jose Canseco | Rickey Henderson | Mike Gallego | Harold Baines | Terry Steinbach | Mark McGwire | Lance Blankenship,Mike Moore | Dennis Eckersley | Ron Darling | Kevin Campbell | Rick Honeycutt | Todd Burns | Andy Hawkins | Vance Law,Dave Henderson | Jose Canseco | Rickey Henderson | Mark McGwire | Dennis Eckersley,Dave Stewart | Walt Weiss | Bob Welch | Willie Randolph | Gene Nelson,5,5,C03,OAK,AL,W,4,162,84,78,N,,N,N,760.0,776.0,2713493.0,Oakland Athletics,Oakland Coliseum
1992,Mark McGwire | Rickey Henderson | Mike Bordick | Terry Steinbach | Lance Blankenship | Dennis Eckersley | Carney Lansford | Bob Welch | Willie Wilson | Jerry Browne,Mark McGwire | Rickey Henderson | Mike Bordick | Terry Steinbach | Lance Blankenship | Carney Lansford | Willie Wilson | Jerry Browne,Dennis Eckersley | Bob Welch | Ron Darling | Jeff Parrett | Dave Stewart | Jim Corsi | Vince Horsman | Mike Moore,Mark McGwire | Rickey Henderson | Terry Steinbach | Lance Blankenship | Dennis Eckersley,Dave Henderson | Jose Canseco | Mike Moore | Mike Gallego | Harold Baines,5,5,C03,OAK,AL,W,1,162,96,66,Y,,N,N,745.0,672.0,2494160.0,Oakland Athletics,Oakland Coliseum
1993,Rickey Henderson | Bobby Witt | Terry Steinbach | Brent Gates | Mike Bordick | Troy Neel | Scott Hemond | Mark McGwire | Lance Blankenship | Mike Aldrete,Rickey Henderson | Terry Steinbach | Brent Gates | Mike Bordick | Troy Neel | Scott Hemond | Mark McGwire | Lance Blankenship,Bobby Witt | Steve Karsay | Ed Nunez | Rick Honeycutt | Ron Darling | Joe Boever | Dennis Eckersley | Bob Welch,Rickey Henderson | Terry Steinbach | Mike Bordick | Mark McGwire | Lance Blankenship,Dennis Eckersley | Carney Lansford | Bob Welch | Willie Wilson | Jerry Browne,5,5,C03,OAK,AL,W,7,162,68,94,N,,N,N,715.0,846.0,2035025.0,Oakland Athletics,Oakland Coliseum
1994,Rickey Henderson | Stan Javier | Steve Ontiveros | Terry Steinbach | Geronimo Berroa | Troy Neel | Mike Bordick | Mark McGwire | Steve Karsay | Brent Gates,Rickey Henderson | Stan Javier | Terry Steinbach | Geronimo Berroa | Troy Neel | Mike Bordick | Mark McGwire | Brent Gates,Steve Ontiveros | Steve Karsay | Carlos Reyes | Ron Darling | Dave Leiper | Mark Acre | John Briscoe | Billy Taylor,Rickey Henderson | Terry Steinbach | Troy Neel | Mike Bordick | Mark McGwire | Brent Gates,Bobby Witt | Scott Hemond | Lance Blankenship | Mike Aldrete,6,4,C03,OAK,AL,W,2,114,51,63,,,,,549.0,589.0,1242692.0,Oakland Athletics,Oakland Coliseum
1995,Mark McGwire | Stan Javier | Rickey Henderson | Mike Bordick | Terry Steinbach | Todd Stottlemyre | Brent Gates | Geronimo Berroa | Rick Honeycutt | Jim Corsi,Mark McGwire | Stan Javier | Rickey Henderson | Mike Bordick | Terry Steinbach | Brent Gates | Geronimo Berroa | Jason Giambi,Todd Stottlemyre | Rick Honeycutt | Jim Corsi | Steve Ontiveros | Todd Van Poppel | Mike Mohler | Steve Wojciechowski | Don Wengert,Mark McGwire | Stan Javier | Rickey Henderson | Mike Bordick | Terry Steinbach | Brent Gates | Geronimo Berroa,Steve Ontiveros | Troy Neel | Steve Karsay,7,3,C03,OAK,AL,W,4,144,67,77,N,N,N,N,730.0,761.0,1174310.0,Oakland Athletics,Oakland Coliseum
1996,Mark McGwire | Scott Brosius | Terry Steinbach | Ariel Prieto | Geronimo Berroa | Dave Telgheder | Mike Mohler | Don Wengert | Jim Corsi | Willie Adams,Mark McGwire | Scott Brosius | Terry Steinbach | Geronimo Berroa | Tony Batista | Jason Giambi | Ernie Young | Matt Stairs,Ariel Prieto | Dave Telgheder | Mike Mohler | Don Wengert | Jim Corsi | Willie Adams | Carlos Reyes | Buddy Groom,Mark McGwire | Terry Steinbach | Geronimo Berroa | Jim Corsi,Stan Javier | Rickey Henderson | Mike Bordick | Todd Stottlemyre | Brent Gates | Rick Honeycutt,4,6,C03,OAK,AL,W,3,162,78,84,N,N,N,N,861.0,900.0,1148380.0,Oakland Athletics,Oakland Coliseum
1997,Mark McGwire | Dave Magadan | Matt Stairs | Jason Giambi | Brent Mayne | Billy Taylor | George Williams | Scott Spiezio | Jimmy Haynes | Geronimo Berroa,Mark McGwire | Dave Magadan | Matt Stairs | Jason Giambi | Brent Mayne | George Williams | Scott Spiezio | Geronimo Berroa,Billy Taylor | Jimmy Haynes | Mike Oquist | Aaron Small | Brad Rigby | Buddy Groom | Ariel Prieto | Steve Karsay,Mark McGwire | Geronimo Berroa,Scott Brosius | Terry Steinbach | Ariel Prieto | Dave Telgheder | Mike Mohler | Don Wengert | Jim Corsi | Willie Adams,2,8,C03,OAK,AL,W,4,162,65,97,N,N,N,N,764.0,946.0,1264218.0,Oakland Athletics,Oakland Coliseum
1998,Kenny Rogers | Matt Stairs | Jason Giambi | Rickey Henderson | Ben Grieve | Tom Candiotti | Gil Heredia | Jimmy Haynes | Bip Roberts | Jason McDonald,Matt Stairs | Jason Giambi | Rickey Henderson | Ben Grieve | Bip Roberts | Jason McDonald | A. J. Hinch | Dave Magadan,Kenny Rogers | Tom Candiotti | Gil Heredia | Jimmy Haynes | Billy Taylor | Buddy Groom | Tim Worrell | Mike Fetters,Matt Stairs | Jason Giambi | Jimmy Haynes,Mark McGwire | Dave Magadan | Brent Mayne | Billy Taylor | George Williams | Scott Spiezio | Geronimo Berroa,3,7,C03,OAK,AL,W,4,162,74,88,N,N,N,N,804.0,866.0,1232343.0,Oakland Athletics,Oakland Coliseum
1999,Jason Giambi | John Jaha | Tim Hudson | Miguel Tejada | Randy Velarde | Gil Heredia | Doug Jones | Eric Chavez | Kenny Rogers | Tony Phillips,Jason Giambi | John Jaha | Miguel Tejada | Randy Velarde | Eric Chavez | Tony Phillips | Matt Stairs | Olmedo Saenz,Tim Hudson | Gil Heredia | Doug Jones | Kenny Rogers | Mike Oquist | Jason Isringhausen | T. J. Mathews | Brad Rigby,Jason Giambi | Gil Heredia | Kenny Rogers,Matt Stairs | Rickey Henderson | Ben Grieve | Tom Candiotti | Jimmy Haynes | Bip Roberts | Jason McDonald,3,7,C04,OAK,AL,W,2,162,87,75,N,N,N,N,893.0,846.0,1434610.0,Oakland Athletics,Oakland Coliseum
2000,Jason Giambi | Miguel Tejada | Tim Hudson | Gil Heredia | Barry Zito | Kevin Appier | Jeff Tam | Terrence Long | Ben Grieve | Eric Chavez,Jason Giambi | Miguel Tejada | Terrence Long | Ben Grieve | Eric Chavez | Randy Velarde | Olmedo Saenz | Adam Piatt,Tim Hudson | Gil Heredia | Barry Zito | Kevin Appier | Jeff Tam | Doug Jones | Jason Isringhausen | Jim Mecir,Jason Giambi | Miguel Tejada | Tim Hudson | Gil Heredia | Eric Chavez,John Jaha | Randy Velarde | Doug Jones | Kenny Rogers | Tony Phillips,5,5,C04,OAK,AL,W,1,161,91,70,Y,N,N,N,947.0,813.0,1603744.0,Oakland Athletics,Oakland Coliseum
2001,Jason Giambi | Eric Chavez | Mark Mulder | Barry Zito | Tim Hudson | Miguel Tejada | Cory Lidle | Frank Menechino | Johnny Damon | Ramon Hernandez,Jason Giambi | Eric Chavez | Miguel Tejada | Frank Menechino | Johnny Damon | Ramon Hernandez | Terrence Long | Jermaine Dye,Mark Mulder | Barry Zito | Tim Hudson | Cory Lidle | Jason Isringhausen | Jeff Tam | Erik Hiljus | Jim Mecir,Jason Giambi | Eric Chavez | Barry Zito | Tim Hudson | Miguel Tejada,Gil Heredia | Kevin Appier | Jeff Tam | Terrence Long | Ben Grieve,5,5,C04,OAK,AL,W,2,162,102,60,N,Y,N,N,884.0,645.0,2133277.0,Oakland Athletics,Oakland Coliseum
2002,Barry Zito | Tim Hudson | Miguel Tejada | Mark Mulder | Eric Chavez | Cory Lidle | Scott Hatteberg | Mark Ellis | John Mabry | Billy Koch,Miguel Tejada | Eric Chavez | Scott Hatteberg | Mark Ellis | John Mabry | Ramon Hernandez | David Justice | Jermaine Dye,Barry Zito | Tim Hudson | Mark Mulder | Cory Lidle | Billy Koch | Chad Bradford | Mike Fyhrie | Ricardo Rincon,Barry Zito | Tim Hudson | Miguel Tejada | Mark Mulder | Eric Chavez | Cory Lidle,Jason Giambi | Frank Menechino | Johnny Damon | Ramon Hernandez,6,4,C04,OAK,AL,W,1,162,103,59,Y,N,N,N,800.0,654.0,2169811.0,Oakland Athletics,Oakland Coliseum
2003,Tim Hudson | Mark Mulder | Eric Chavez | Barry Zito | Miguel Tejada | Keith Foulke | Ramon Hernandez | Mark Ellis | Ted Lilly | Eric Byrnes,Eric Chavez | Miguel Tejada | Ramon Hernandez | Mark Ellis | Eric Byrnes | Erubiel Durazo | Scott Hatteberg | Adam Melhuse,Tim Hudson | Mark Mulder | Barry Zito | Keith Foulke | Ted Lilly | Chad Bradford | Ricardo Rincon | Rich Harden,Tim Hudson | Mark Mulder | Eric Chavez | Barry Zito | Miguel Tejada | Mark Ellis,Cory Lidle | Scott Hatteberg | John Mabry | Billy Koch,6,4,C04,OAK,AL,W,1,162,96,66,Y,N,N,N,768.0,643.0,2216596.0,Oakland Athletics,Oakland Coliseum
2004,Eric Chavez | Mark Kotsay | Tim Hudson | Rich Harden | Eric Byrnes | Erubiel Durazo | Bobby Crosby | Mark Mulder | Barry Zito | Justin Duchscherer,Eric Chavez | Mark Kotsay | Eric Byrnes | Erubiel Durazo | Bobby Crosby | Scott Hatteberg | Jermaine Dye | Damian Miller,Tim Hudson | Rich Harden | Mark Mulder | Barry Zito | Justin Duchscherer | Mark Redman | Chris Hammond | Octavio Dotel,Eric Chavez | Tim Hudson | Eric Byrnes | Mark Mulder | Barry Zito,Miguel Tejada | Keith Foulke | Ramon Hernandez | Mark Ellis | Ted Lilly,5,5,C04,OAK,AL,W,2,162,91,71,N,N,N,N,793.0,742.0,2201516.0,Oakland Athletics,Network Associates Coliseum
2005,Eric Chavez | Mark Ellis | Joe Blanton | Rich Harden | Bobby Crosby | Dan Haren | Barry Zito | Huston Street | Mark Kotsay | Jason Kendall,Eric Chavez | Mark Ellis | Bobby Crosby | Mark Kotsay | Jason Kendall | Dan Johnson | Nick Swisher | Marco Scutaro,Joe Blanton | Rich Harden | Dan Haren | Barry Zito | Huston Street | Justin Duchscherer | Kirk Saarloos | Kiko Calero,Eric Chavez | Rich Harden | Bobby Crosby | Barry Zito | Mark Kotsay,Tim Hudson | Eric Byrnes | Erubiel Durazo | Mark Mulder | Justin Duchscherer,5,5,C04,OAK,AL,W,2,162,88,74,N,N,N,N,772.0,658.0,2109118.0,Oakland Athletics,McAfee Coliseum
2006,Barry Zito | Jason Kendall | Nick Swisher | Dan Haren | Frank Thomas | Eric Chavez | Mark Ellis | Jay Payton | Milton Bradley | Justin Duchscherer,Jason Kendall | Nick Swisher | Frank Thomas | Eric Chavez | Mark Ellis | Jay Payton | Milton Bradley | Bobby Kielty,Barry Zito | Dan Haren | Justin Duchscherer | Huston Street | Kiko Calero | Joe Blanton | Chad Gaudin | Joe Kennedy,Barry Zito | Jason Kendall | Dan Haren | Eric Chavez | Mark Ellis,Joe Blanton | Rich Harden | Bobby Crosby | Huston Street | Mark Kotsay,5,5,C04,OAK,AL,W,1,162,93,69,Y,N,N,N,771.0,727.0,1976625.0,Oakland Athletics,McAfee Coliseum
2007,Mark Ellis | Dan Haren | Nick Swisher | Joe Blanton | Jack Cust | Travis Buck | Eric Chavez | Dan Johnson | Jason Kendall | Chad Gaudin,Mark Ellis | Nick Swisher | Jack Cust | Travis Buck | Eric Chavez | Dan Johnson | Jason Kendall | Shannon Stewart,Dan Haren | Joe Blanton | Chad Gaudin | Rich Harden | Huston Street | Alan Embree | Joe Kennedy | Esteban Loaiza,Mark Ellis | Dan Haren | Nick Swisher | Eric Chavez | Jason Kendall,Barry Zito | Frank Thomas | Jay Payton | Milton Bradley | Justin Duchscherer,5,5,C04,OAK,AL,W,3,162,76,86,N,N,N,N,741.0,758.0,1921844.0,Oakland Athletics,McAfee Coliseum
2008,Mark Ellis | Kurt Suzuki | Justin Duchscherer | Brad Ziegler | Jack Cust | Rich Harden | Jack Hannahan | Greg Smith | Ryan Sweeney | Joey Devine,Mark Ellis | Kurt Suzuki | Jack Cust | Jack Hannahan | Ryan Sweeney | Rajai Davis | Carlos Gonzalez | Bobby Crosby,Justin Duchscherer | Brad Ziegler | Rich Harden | Greg Smith | Joey Devine | Dana Eveland | Huston Street | Chad Gaudin,Mark Ellis | Jack Cust,Dan Haren | Nick Swisher | Joe Blanton | Travis Buck | Eric Chavez | Dan Johnson | Jason Kendall | Chad Gaudin,2,8,C04,OAK,AL,W,3,161,75,86,N,N,N,N,646.0,690.0,1665256.0,Oakland Athletics,McAfee Coliseum
2009,Andrew Bailey | Kurt Suzuki | Rajai Davis | Ryan Sweeney | Matt Holliday | Dallas Braden | Michael Wuertz | Brett Anderson | Trevor Cahill | Brad Ziegler,Kurt Suzuki | Rajai Davis | Ryan Sweeney | Matt Holliday | Mark Ellis | Adam Kennedy | Jack Cust | Daric Barton,Andrew Bailey | Dallas Braden | Michael Wuertz | Brett Anderson | Trevor Cahill | Brad Ziegler | Craig Breslow | Brett Tomko,Kurt Suzuki | Ryan Sweeney | Brad Ziegler,Mark Ellis | Justin Duchscherer | Jack Cust | Rich Harden | Jack Hannahan | Greg Smith | Joey Devine,3,7,C05,OAK,AL,W,4,162,75,87,N,N,N,N,759.0,761.0,1408783.0,Oakland Athletics,Oakland-Alameda County Coliseum
2010,Daric Barton | Cliff Pennington | Trevor Cahill | Gio Gonzalez | Coco Crisp | Mark Ellis | Dallas Braden | Kevin Kouzmanoff | Jack Cust | Kurt Suzuki,Daric Barton | Cliff Pennington | Coco Crisp | Mark Ellis | Kevin Kouzmanoff | Jack Cust | Kurt Suzuki | Adam Rosales,Trevor Cahill | Gio Gonzalez | Dallas Braden | Andrew Bailey | Brett Anderson | Craig Breslow | Brad Ziegler | Bobby Cramer,Trevor Cahill | Dallas Braden | Kurt Suzuki,Andrew Bailey | Rajai Davis | Ryan Sweeney | Matt Holliday | Michael Wuertz | Brett Anderson | Brad Ziegler,3,7,C05,OAK,AL,W,2,162,81,81,N,N,N,N,663.0,626.0,1418391.0,Oakland Athletics,Oakland-Alameda County Coliseum
